LISTA;empresa;caregoria;codigo;titulo; P.V.P  ACT. ; NUEVO P.V.P ; INCREMENTO ; % INCREMENTO ;; CONSE ; PRECIO NUEVO ;
LISTA;2;ELT;1023;DREAM UP + WORKBOOK A EU PRESCHOOL; 149.000,00 ; 157.900,00 ; 8.900,00 ; 0,06 ;#�REF!; 1,00 ; 160.900 ;
LISTA;2;ELT;1024;DREAM UP + WORKBOOK B EU PRESCHOOL; 149.000,00 ; 157.900,00 ; 8.900,00 ; 0,06 ;#�REF!; 2,00 ; 160.900 ;
LISTA;2;ELT;1025;DREAM UP + WORKBOOK C EU PRESCHOOL; 149.000,00 ; 157.900,00 ; 8.900,00 ; 0,06 ;#�REF!; 3,00 ; 160.900 ;
LISTA;2;ELT;1041;PM SCIENCE KG PUPIL S BOOK; 55.000,00 ; 58.300,00 ; 3.300,00 ; 0,06 ;#�REF!; 4,00 ; 58.900 ;
LISTA;2;ELT;1748;NEW PLAYING AGAIN 1 STUDENT?S B.; 46.000,00 ; 48.800,00 ; 2.800,00 ; 0,06 ;#�REF!; 5,00 ; 48.900 ;
LISTA;2;ELT;1749;NEW PLAYING AGAIN 2 STUDENT?S B.; 46.000,00 ; 48.800,00 ; 2.800,00 ; 0,06 ;#�REF!; 6,00 ; 48.900 ;
LISTA;2;ELT;1750;NEW PLAYING AGAIN 3 STUDENT?S B.; 46.000,00 ; 48.800,00 ; 2.800,00 ; 0,06 ;#�REF!; 7,00 ; 48.900 ;
LISTA;2;ELT;1751;NEW PLAYING AGAIN 4 STUDENT?S B.; 46.000,00 ; 48.800,00 ; 2.800,00 ; 0,06 ;#�REF!; 8,00 ; 48.900 ;
LISTA;2;ELT;1752;NEW PLAYING AGAIN 5 STUDENT?S B.; 46.000,00 ; 48.800,00 ; 2.800,00 ; 0,06 ;#�REF!; 9,00 ; 48.900 ;
LISTA;2;ELT;1753;DREAM UP + WORKBOOK 1 EU; 151.000,00 ; 160.100,00 ; 9.100,00 ; 0,06 ;#�REF!; 10,00 ; 160.900 ;
LISTA;2;ELT;1754;DREAM UP + WORKBOOK 2 EU; 151.000,00 ; 160.100,00 ; 9.100,00 ; 0,06 ;#�REF!; 11,00 ; 160.900 ;
LISTA;2;ELT;1755;DREAM UP + WORKBOOK 3 EU; 151.000,00 ; 160.100,00 ; 9.100,00 ; 0,06 ;#�REF!; 12,00 ; 160.900 ;
LISTA;2;ELT;1756;DREAM UP + WORKBOOK 4 EU; 151.000,00 ; 160.100,00 ; 9.100,00 ; 0,06 ;#�REF!; 13,00 ; 160.900 ;
LISTA;2;ELT;1757;DREAM UP + WORKBOOK 5 EU; 151.000,00 ; 160.100,00 ; 9.100,00 ; 0,06 ;#�REF!; 14,00 ; 160.900 ;
LISTA;2;ELT;1758;TIME FOR LEARNING + WORKBOOK 1; 71.000,00 ; 75.300,00 ; 4.300,00 ; 0,06 ;#�REF!; 15,00 ; 75.900 ;
LISTA;2;ELT;1759;TIME FOR LEARNING + WORKBOOK 2; 71.000,00 ; 75.300,00 ; 4.300,00 ; 0,06 ;#�REF!; 16,00 ; 75.900 ;
LISTA;2;ELT;1760;TIME FOR LEARNING + WORKBOOK 3; 71.000,00 ; 75.300,00 ; 4.300,00 ; 0,06 ;#�REF!; 17,00 ; 75.900 ;
